date,jd_ut,Sun,Moon,Jupiter,Saturn,Jupiter_Saturn_sep
1425-01-01,2241539.5,289.6568845353707,57.71654684581122,223.3679100558893,225.57958660392637,2.211676548037076
1425-01-02,2241540.5,290.67483791220087,72.41438182578607,223.5097219450366,225.6511239862335,2.1414020411968977
1425-01-03,2241541.5,291.6925647483364,87.38141885257234,223.64949027276512,225.7213522845559,2.0718620117907847
1425-01-04,2241542.5,292.7100650168054,102.4986370256117,223.78718076562527,225.79024903282493,2.003068267199666
1425-01-05,2241543.5,293.7273398840615,117.61730992015073,223.92275616080863,225.85778936840958,1.9350332076009522
1425-01-06,2241544.5,294.7443934225984,132.57944859120482,224.05617987700506,225.92394983689152,1.8677699598864592
1425-01-07,2241545.5,295.7612333349103,147.2424103324301,224.18741901444056,225.98871146301104,1.8012924485704787
1425-01-08,2241546.5,296.77786987941295,161.50000682996472,224.31644523799906,226.05206058116073,1.735615343161669
1425-01-09,2241547.5,297.79431327950635,175.29401874106972,224.44323346168352,226.11398739547698,1.6707539337934634
1425-01-10,2241548.5,298.81057088427985,188.61457925816478,224.5677594985913,226.1744834988856,1.6067240002942924
1425-01-11,2241549.5,299.8266452409194,201.49228193375663,224.68999810879367,226.2335397808973,1.543541672103629
1425-01-12,2241550.5,300.84253349887564,213.98659511768497,224.80992209187033,226.29114541082748,1.4812233189571486
1425-01-13,2241551.5,301.8582278218523,226.1742283896689,224.92750230271182,226.34728778323304,1.4197854805212273
1425-01-14,2241552.5,302.873716055128,238.13925538230305,225.04270797165208,226.40195277009371,1.3592447984416367
1425-01-15,2241553.5,303.8889823793946,249.96551114783747,225.15550702390294,226.45512500592983,1.2996179820268878
1425-01-16,2241554.5,304.90400788126675,261.7312191707703,225.26586636755246,226.50678814781162,1.240921780259157
1425-01-17,2241555.5,305.91877112502027,273.5055161912671,225.37375228129866,226.556925232315,1.1831729510163314
1425-01-18,2241556.5,306.9332487169322,285.34639499586774,225.47913089508918,226.60551913351142,1.126388238422237
1425-01-19,2241557.5,307.94741584020477,297.2997216587733,225.58196872488602,226.6525530709333,1.0705843460472693
1425-01-20,2241558.5,308.9612468545604,309.3993109078116,225.68223328077644,226.6980111534235,1.0157778726470497
1425-01-21,2241559.5,309.9747161448275,321.66820856886534,225.77989377501297,226.74187904010222,0.961985265089254
1425-01-22,2241560.5,310.9877991692799,334.12117775934365,225.87492190564578,226.78414465226425,0.9092227466184681
1425-01-23,2241561.5,312.00047353815705,346.76809342463264,225.9672924496661,226.8247987307412,0.8575062810751035
1425-01-24,2241562.5,313.01271975770834,359.6176856075879,226.0569834786967,226.86383500074967,0.8068515220529662
1425-01-25,2241563.5,314.02452149970446,12.680806563831174,226.14397603103075,226.901249851567,0.7572738205362555
1425-01-26,2241564.5,315.0358654635503,25.972165703457108,226.2282534355974,226.93704163166467,0.7087881960672746
1425-01-27,2241565.5,316.04674097720425,39.509530388206265,226.3098002833996,226.97120963918252,0.6614093557829221
1425-01-28,2241566.5,317.05713942255824,53.309862929932926,226.38860107217698,227.0037527795403,0.6151517073633102
