body_a,body_b,date,jd_ut,longitude_difference_deg,angular_separation_deg,ecliptic_longitude_deg,solar_elongation_deg,event_class
Jupiter,Saturn,1405-01-16 20:02 UT (Julian),2234250.3347222055,1.3146284004506015e-05,0.4877902170056477,323.77064837725453,18.167691144832304,great_conjunction
Jupiter,Saturn,1425-02-14 14:47 UT (Julian),2241584.115972205,4.416088216885328e-06,1.17775262416385,227.3032443158997,107.47648627030526,great_conjunction
Jupiter,Saturn,1425-03-18 07:33 UT (Julian),2241615.814583317,4.103895292928428e-06,1.1999955860317715,226.5501902913433,139.7133019397777,great_conjunction
Jupiter,Saturn,1425-08-26 07:33 UT (Julian),2241776.814583317,1.191297246805334e-05,1.2618214889173451,222.67265221489876,61.467461195990325,great_conjunction
