year,month,decimal_year,body,longitude_deg
1404,1,1404.0416666666667,Mercury,285.30994803764764
1404,1,1404.0416666666667,Venus,298.12143375303543
1404,1,1404.0416666666667,Mars,17.01679582055698
1404,1,1404.0416666666667,Jupiter,296.2781814584046
1404,1,1404.0416666666667,Saturn,313.0184792482596
1404,2,1404.125,Mercury,312.6071921532641
1404,2,1404.125,Venus,336.9353046399191
1404,2,1404.125,Mars,37.17724289956443
1404,2,1404.125,Jupiter,303.38957574002967
1404,2,1404.125,Saturn,316.7207303381488
1404,3,1404.2083333333333,Mercury,3.4435205323956124
1404,3,1404.2083333333333,Venus,13.009918467245079
1404,3,1404.2083333333333,Mars,55.97900290564221
1404,3,1404.2083333333333,Jupiter,309.2809920281111
1404,3,1404.2083333333333,Saturn,319.86698977044034
1404,4,1404.2916666666667,Mercury,53.43646751498877
1404,4,1404.2916666666667,Venus,51.21896574303351
1404,4,1404.2916666666667,Mars,75.89690592946616
1404,4,1404.2916666666667,Jupiter,314.07378986250865
1404,4,1404.2916666666667,Saturn,322.3946703673947
1404,5,1404.375,Mercury,46.58938635228774
1404,5,1404.375,Venus,87.78610737437873
1404,5,1404.375,Mars,94.99116506792039
1404,5,1404.375,Jupiter,316.508068866076
1404,5,1404.375,Saturn,323.6116512155418
1404,6,1404.4583333333333,Mercury,77.71745413916318
1404,6,1404.4583333333333,Venus,125.04954164718983
1404,6,1404.4583333333333,Mars,114.60255386171853
1404,6,1404.4583333333333,Jupiter,316.1474093120271
1404,6,1404.4583333333333,Saturn,323.36045756386176
1404,7,1404.5416666666667,Mercury,137.96302429119277
1404,7,1404.5416666666667,Venus,160.3460483130054
1404,7,1404.5416666666667,Mars,133.5672617302603
1404,7,1404.5416666666667,Jupiter,313.2357564331639
1404,7,1404.5416666666667,Saturn,321.8028304212275
1404,8,1404.625,Mercury,176.9671279584898
1404,8,1404.625,Venus,195.42489451196616
1404,8,1404.625,Mars,153.27019711644442
1404,8,1404.625,Jupiter,309.32331215063647
1404,8,1404.625,Saturn,319.5264011430177
1404,9,1404.7083333333333,Mercury,164.8245735966654
1404,9,1404.7083333333333,Venus,227.55213809967466
1404,9,1404.7083333333333,Mars,173.1986643907642
1404,9,1404.7083333333333,Jupiter,307.0081549346264
1404,9,1404.7083333333333,Saturn,317.6361340819098
1404,10,1404.7916666666667,Mercury,207.17613291315737
1404,10,1404.7916666666667,Venus,251.01926435758173
1404,10,1404.7916666666667,Mars,192.79274566164287
1404,10,1404.7916666666667,Jupiter,307.62904570640984
1404,10,1404.7916666666667,Saturn,317.0259947379643
1404,11,1404.875,Mercury,255.85615320011271
1404,11,1404.875,Venus,251.43002403987506
1404,11,1404.875,Mars,213.42566480587683
1404,11,1404.875,Jupiter,311.13393252883264
1404,11,1404.875,Saturn,317.98695363849976
1404,12,1404.9583333333333,Mercury,282.98753940209826
1404,12,1404.9583333333333,Venus,240.69958586136292
1404,12,1404.9583333333333,Mars,233.79920495470412
1404,12,1404.9583333333333,Jupiter,316.5686224157949
1404,12,1404.9583333333333,Saturn,320.28527448939275
1405,1,1405.0416666666667,Mercury,279.53821137446175
1405,1,1405.0416666666667,Venus,258.60461257058074
